Photovoltaics.alphaModule,Photovoltaics.betaModule,Photovoltaics.PPeak,BatteryStorage.EBattNominal,BatteryStorage.SOCMax,BatteryStorage.SOCMin,batteryControllerDT1.lowerLimit,batteryControllerDT1.upperLimit,HeatingAndCooling.HeatGeneration.HeatStorage.VStorage,Investment costs,Yearly total costs,Yearly CO2 emissions,Resilience,Mean battery state of charge,Yearly energy discharged from battery,Maximum power peak,SOC Time proportion,Yearly energy fed into the grid,Maximum feed-in power peak,posResilience
0.959177721,0.252159577,0.076807587,0.616785541,0.9126413067133532,0.1495069912508959,0.487573412,0.513957786,0.906905551,394056.0852,331673.0537,2140.269459,-2031.962615,0.199951585,0.013964581535856,333428.1934,1.0,287.6902298,6038.171847,2031.9626152819296
0.895786116,0.7428398843795179,0.346578656272046,0.7056189566995971,0.234662819,0.530220331,0.953211009,0.56178915,0.974429099,199109.5141,334970.467,2152.914554,-1336.003284,0.199951923,0.013866981,333428.193,1.0,0.0,0.0,1336.003284
0.9254935070274328,0.096945118,0.4390251161322151,0.649179147,0.190937657,0.583775362,0.787684863,0.305739950633338,0.186327081,339692.0929,331799.6068,2141.145094,-1913.357352,0.609911184,3415.6400445418103,333428.1919,0.000447978,2124.534442,26877.82802,1913.357352
0.918865205,0.8119346320957389,0.165706795,0.026217033,0.542911391,0.372204991,0.8789066387609179,0.53009063,0.5383405613245179,366316.8711,337303.970871234,2156.119772,-1405.59492,0.199951874,0.013880931,333428.1932,1.0,0.0,0.0,1405.59492
0.6387114487072629,0.022549293,0.05681442,0.917405884,0.5005077706319989,0.7836322600177149,0.999466523,0.766186648,0.9440268317332472,182165.9015,337717.9872,2157.072665,-44.80244202,0.27635751,135.8734731,333428.1942,0.9983200806361292,0.0,0.0,44.80244201595801
0.195854686,0.2203788237917889,0.468207187,0.342288291,0.614250099,0.6651141149417521,0.104638203,0.150789109,0.7746342499305781,287176.8663,337783.802,2157.5889394845603,-2132.300047,0.199951554,0.013973547,333428.1933,1.0,0.0,0.0,2132.300047
0.8421838745482678,0.9936240438299448,0.75913036,0.2444418897661189,0.207948204,0.876156905,0.757883817,0.72248898,0.8957912523707959,302950.5263,330719.75856393896,2136.276084,-746.225442,0.199952685,0.013646706,333428.1931,1.0,2526.687229,24536.90853,746.2254420038838
0.248126962503003,0.468196936,0.106813165,0.933060125,0.064368089,0.082021915,0.3969956369742889,0.00276148,0.992749143,406487.1543,332197.1948,2142.2352256005,-535.9895122,0.199953343,0.01345707,333428.193,1.0,0.0,0.0,535.9895122
0.467347987,0.290204349,0.73219341,0.540209707,0.966727834,0.478375956,0.296845868,0.2798529614135011,0.33639042,290715.3509,333583.0711,2147.811973,-765.7093403,0.077741954,1256.884668,333428.1988,1.0,54.34279530731629,17408.22534,765.7093403
0.687541212,0.563147171,0.544161436,0.247622896,0.467734496,0.298545207,0.097278585,0.028503243,0.235850462063016,468445.3575,330409.9593,2130.595057,-1171.467085,0.19995206,0.013827273,333428.1927,1.0,16008.82528,101256.502537962,1171.4670848665598
0.133469725,0.7960589231660821,0.490724237,0.558836222,0.727075469,0.922021113,0.735965149,0.6143621579811739,0.110012742,312773.21,329311.8898,2126.129409,-377.9009523,0.139316938,166.34425000952498,333428.1949,1.0,22674.33436,119710.89,377.9009523
0.471853725,0.8520016129466291,0.124064008,0.98874242,0.578749201,0.587802879,0.646667543,0.308091483675863,0.3471650680810721,366757.2802,333609.5052,2141.927644,-1211.494627,0.199952023,0.013837795,333428.1936,1.0,2542.861723,26409.9349705572,1211.494627
0.396579659572551,0.3651377121635429,0.620774154,0.8165489498737429,0.20524659,0.9562086410288722,0.748993977,0.4940121299175539,0.520696763,312317.7813,337815.2263,2158.892282,-2135.157624,0.199951553,0.013973753,333428.1931,1.0,0.0,0.0,2135.157624
0.285867189999599,0.394036818,0.8380153896104029,0.192394365,0.9257362150360908,0.06569843,0.0326006549972949,0.198375685,0.071076912,487920.2663,329756.229633124,2129.000812,-1765.19826,0.199951683,0.013936095,333428.193,1.0,16963.88515,97375.31438,1765.19826
0.235649135,0.191170091,0.41565592,0.2066407020945889,0.440579262246321,0.128747487721329,0.4086934063811261,0.970364825,0.705281357,428477.4206,328502.8783,2122.06078,-154.340176,0.075474123,276.1477937,333427.7169,1.0,23998.85848,135472.5373,154.340176
0.8584517790311341,0.06876127,0.6314986685148821,0.7733183499845759,0.9123521428732952,0.8334933502205161,0.331620223,0.9706126820444458,0.29968105,246030.8827,331603.8995,2139.5711674724203,-454.7742,0.19995375,0.013339493,333428.193,1.0,794.5710464,11595.27205,454.7742
0.069562993,0.3949192522678521,0.553192982,0.7088203625436759,0.22753771,0.608821318,0.180813463,0.002387921,0.407463209,482110.7403,335979.3914,2151.582682,-1672.316305,0.1999517247165849,0.013924145,333428.1935,1.0,0.0,0.0,1672.3163052588598
0.058001682,0.555402749,0.54225837,0.7852633363576059,0.978797929,0.703016428,0.998465021,0.112711094,0.716069825,431394.2501,331700.0157,2135.984128,-1533.73463,0.199951796,0.01390356,333428.1931,1.0,7057.838719,50317.92925987679,1533.73463
0.6324200601845601,0.6880054305726071,0.187410141273366,0.3944072786276311,0.111081884,0.51370661,0.693585162,0.8324725452511659,0.8740193261844592,422973.9704,330233.81391539896,2134.78339,-1295.911283,0.199951953007767,0.013858183,333428.1928,1.0,1769.348855,22329.8650684528,1295.911283
0.124908861,0.033416941,0.169201332,0.153741297,0.627463255,0.140514124,0.6911249096040639,0.346253553,0.8016327505931591,192204.8777,332669.2868,2144.0181120402804,-858.2080334,0.199952462,0.013711186,333428.1931,1.0,46.87163979,837.4553726,858.2080334
0.278273938,0.7466440397805201,0.143073616,0.3637267134002109,0.249073021,0.4616421062131161,0.532299249,0.235547716,0.77887536,124488.4749,334230.2932,2149.7473763390303,-341.1157307,0.199954621304683,0.013087619,333428.193179514,1.0,0.0,0.0,341.1157307
0.469451388,0.57234299,0.237130108,0.752028497,0.132464466,0.231049141,0.716336511,0.255477466759396,0.673834921,165107.0946,334087.4873,2149.212791,-792.2904208,0.199952586,0.013675185,333428.19361231604,1.0,0.0,0.0,792.2904208026358
0.7492682676464381,0.7238581740756491,0.484220081,0.172435702476237,0.7242640208695291,0.6194325371703849,0.986152171,0.988360783,0.7521960343712131,303046.3874,331477.546,2138.9491501629395,-1064.79434,0.132373335,583.0429321106491,332080.1842,1.0,2338.277557,19538.23109,1064.79434
0.593954509,0.029112166,0.5285165122146169,0.1672905097338189,0.287878011,0.079122406,0.682040101,0.6909104339330799,0.285651301726361,267779.3919,330082.542,2133.826991,-899.3500494,0.8458783081637441,1404.609869,333428.2159,0.999328032,7164.91653115486,58920.40885,899.3500494
0.4153127267361861,0.106400356,0.625857743,0.956129454,0.897787451,0.7905669428564341,0.526607217,0.1818125871740669,0.590727077,285852.8697,336284.3701,2152.6665973160502,-370.2286279,0.199954351,0.013165764,333428.1934,1.0,0.0,0.0,370.2286279
0.980916841,0.7355826134483381,0.069562887,0.7222566789111949,0.149980838,0.229961596540051,0.161863016,0.955696866,0.031039867,525098.5414,333610.516,2144.110884,-2065.093306,0.199951574041488,0.013967681,333428.1931,1.0,7.859922790249588,0.0,2065.093306
0.446984403,0.132581036,0.416740017,0.2471833093709849,0.698143586,0.258596668,0.952795633,0.987652394,0.343223725,221917.1387,338693.6916,2160.854024,-1562.611183,0.199951780091181,0.013908053,333428.1932,1.0,0.0,0.0,1562.611183
0.8263054814809642,0.241600007,0.653577088,0.1683641292550589,0.444957597,0.527401204,0.051881012,0.529545416,0.104223704,466896.862,332401.9621,2137.59428973412,-288.0894341,0.199955242291313,0.012908518,333428.1926,1.0,6495.696391738989,68726.16378,288.0894341
0.222146314,0.232650615,0.967995339,0.644973358,0.286026177,0.5984704187498922,0.604935903,0.45260179,0.7007570910472479,341194.9124,333301.4182,2140.538726,-372.5275798,0.1999543310317269,0.013171372,333428.1935,1.0,8184.426954,71728.47749,372.5275798
0.213331926033658,0.27183031,0.3616949753259461,0.066646469,0.4112841205434699,0.255276151,0.7151722530317279,0.3409599598739969,0.41281958,598046.387,326513.11754481803,2120.047961,-1396.54951,0.199951880151086,0.013879224,333428.1935,1.0,17330.20807,100460.870988274,1396.54951
0.104104104322573,0.075112521,0.083966643,0.8798738878373149,0.461834599,0.3382105384462729,0.060258917,0.7477343078875209,0.854345062,187451.3457,333980.4125,2144.5296909686103,-153.9896091,0.199958429,0.011989257,333428.1929,1.0,1434.035593,16005.2985,153.9896091
0.305084255,0.034531503,0.620711364,0.53853167,0.729278224,0.326934723397116,0.445481291,0.111439346,0.045795139,267558.619,334976.6165,2152.76716,-1901.244642,0.1999516294370589,0.013951557,333428.1935,1.0,0.0,0.0,1901.244642
0.189760273,0.323964072,0.397282628,0.358740017,0.403689324,0.343282272,0.7807917167862299,0.282762346,0.071278564,418901.4607,335165.7229,2147.40623564258,-944.8971906,0.161819544,228.2794487,333428.194992654,1.0,9.394410179,0.0,944.8971906
0.8477522480845531,0.1145044873389469,0.398647761,0.365602069688857,0.357398491,0.276134748360588,0.519226253,0.4785724425874621,0.328067451,275766.9374,334178.569,2143.770912,-658.610033,0.1694189005768419,127.0127723,333400.1707,1.0,2980.574521,27718.23073,658.610033
0.342758373,0.8893678207616009,0.8096376313646071,0.7777331680502171,0.361113608,0.1582228828298209,0.1692181254157349,0.555417869,0.5852038240709561,278061.581,336954.88698262104,2155.473949,-796.3082154,0.199952578,0.01367761,333428.1935,1.0,0.0,0.0,796.3082154
0.957866454,0.7879598146754871,0.44065425,0.8169918221965601,0.402918406,0.5969045543097939,0.386243115,0.404563242156821,0.646441575,561415.6872,331565.7593,2136.324498,-1681.791424,0.19995172,0.013925423,333428.1935,1.0,1838.74077032692,25969.1579,1681.791424
0.523043114,0.257439994748095,0.977508517,0.44691599,0.5232471612542821,0.913626188,0.943631254,0.7650082123850509,0.8515994638419129,39375.6693,334231.5622,2149.979418,-175.5694672,0.8691409940450551,148.7063792,333428.193,0.9992160376301942,0.0,0.0,175.5694672
0.527737958,0.436225313,0.070075005,0.112550566,0.946360866,0.206986568,0.392438379,0.7680986337909621,0.518851323,357598.93100000004,337062.80488852604,2154.569748,-869.2461113,0.186500132,67.08929883,333422.95277607103,1.0,0.0,0.0,869.2461113
0.7159576172505391,0.826569622,0.567822741,0.074359252,0.677398357,0.876312017,0.1789796639705269,0.826127016,0.280903921,70727.9159,336633.4161,2155.19843,-252.6168165,0.1999557888087889,0.01275086,333428.193,1.0,0.0,0.0,252.6168165
0.858329212,0.34840001896989,0.425385874,0.756888632,0.5603579406360171,0.092469091,0.930157677,0.6971904837952789,0.7300492870192671,280150.9823,334488.83109447104,2145.79662153096,-170.5614049,0.199957802,0.012170173,333428.1934,1.0,294.47393161562303,12114.553466828602,170.5614049
0.981038139,0.796993239,0.101362847,0.5115185615852029,0.197898923328676,0.16352236,0.172238839,0.684478928,0.721314482,551166.1439,328435.1735,2127.428816,-2062.837325,0.199951575,0.013967382,333428.193090594,1.0,9027.125627,61208.371327825305,2062.837325
0.5378092487143239,0.426470225,0.108483533284029,0.784935915,0.927518595,0.287413107307632,0.186714831,0.702465747,0.95503121,183501.3385,335288.90952645603,2153.579242,-1109.825092,0.199952122,0.013809439,333428.1936,1.0,0.0,0.0,1109.825092
0.296881001,0.965374553,0.8842145713122529,0.972778486,0.636513199,0.566077728,0.7784593022912251,0.928475774,0.988485406,254877.1938,333363.3231,2146.859175,-1697.282492,0.199951713,0.013927467126606,333428.19364554604,1.0,0.0,0.0,1697.282492
0.4471003858755471,0.54884557,0.047543027,0.453137021,0.174902324,0.9991985766638442,0.241619975,0.173982599,0.6280089451155401,642831.9257,329200.6721,2131.1639778736803,-2100.866713,0.199951563084173,0.01397085,333428.1935,1.0,1283.63146,19720.23229,2100.866713
